quarter,test_rows,pooled_rank_ic,pooled_p_value,sector_neutral_rank_ic,n_sectors_used
2017Q4,461,0.12242069821028047,0.008507103151888733,0.030609346331336666,16
2018Q1,314,0.06076974428004036,0.28302871627315224,0.015585263600924505,16
2018Q2,473,0.22297284425258765,9.666531848987555e-07,0.10593193651742713,16
2018Q3,487,0.1575129691944247,0.0004850520768221446,0.05279716295173844,16
2018Q4,492,-0.11467423870604941,0.01091119875995623,-0.009624674634381963,16
2019Q1,495,0.05105033745736566,0.2569346348775322,0.06378321214708627,16
2019Q2,501,0.08110151206196803,0.0697159409102321,-0.0652858868512671,16
2019Q3,504,0.12128867530320203,0.006406148542289805,0.10874641600244228,16
2019Q4,507,0.31407025083084394,4.543073175922149e-13,0.24377095558335812,16
2020Q1,513,0.1022202171632362,0.020576950117734805,0.031126255754960825,16
2020Q2,510,0.06552880578568854,0.1394596324101883,0.05421507930704875,16
2020Q3,525,0.10755807408386184,0.01367276341413029,0.05846725926101738,16
2020Q4,522,-0.09436854293598652,0.031106143699481472,-0.0025609780647184556,16
2021Q1,526,0.11764769422471531,0.006909382761806304,0.10141257456553533,16
2021Q2,527,-0.02966080850472858,0.49685882687617294,-0.04802332045846963,16
2021Q3,533,0.10039350968173806,0.020439434014600008,0.0476064555333241,16
2021Q4,536,0.1759350125490877,4.209488696410606e-05,0.11516135728979965,16
2022Q1,389,0.08901920171896055,0.07950494730607166,0.09577864121618872,16
2022Q2,544,-0.11027872731166735,0.010051326436305057,0.0590721289228277,16
2022Q3,550,0.1369745294424715,0.0012809256446129692,0.09874851896040335,16
2022Q4,554,0.1768500068114092,2.8367163787638208e-05,0.11602082718541712,16
2023Q1,553,0.1407521166489165,0.0009035105900161302,0.12682548286360112,16
2023Q2,552,0.23620135723398936,1.9479622878138156e-08,0.22982904564421858,16
2023Q3,555,0.1638504153739234,0.00010549495627816563,0.09869694558862427,16
2023Q4,548,0.4170603612100157,1.792747395482836e-24,0.3068014348153971,16
2024Q1,551,0.3205951981267552,1.2301595868563333e-14,0.14770026643287,16
2024Q2,554,-0.0036363987957575843,0.9319452818398579,0.13123834488137015,16
2024Q3,566,-0.002197738707676303,0.9583929697846787,0.07470176697253275,16
2024Q4,560,-0.10648542380812501,0.01168732479752831,-0.014338476611853774,16
2025Q1,563,0.06416729220962498,0.12832991441865416,0.1291723913672211,16
2025Q2,560,0.234315776663397,2.0135826628208077e-08,0.28243817613382916,16
2025Q3,575,0.176588774428117,2.0557481622697354e-05,0.14629584895260395,16
2025Q4,576,0.18875043778892145,5.0854423127858905e-06,0.12996705559267419,16
2026Q1,423,0.16330108149611447,0.0007480706439850044,0.20648421267083855,16
2026Q2,550,0.14086250623217686,0.0009245508716241667,0.18876486277647178,16
