quarter,sector,share_of_universe,share_of_top_decile,gap
2018Q1,Consumer Services,0.03503184713375796,0.0967741935483871,0.06174234641462913
2018Q1,Consumer Durables,0.03184713375796178,0.03225806451612903,0.00041093075816724806
2018Q1,Realty,0.03184713375796178,0.0,-0.03184713375796178
2018Q1,Construction Materials,0.025477707006369428,0.0,-0.025477707006369428
2018Q1,Services,0.025477707006369428,0.0,-0.025477707006369428
2018Q1,Telecommunication,0.025477707006369428,0.0,-0.025477707006369428
2018Q1,Construction,0.006369426751592357,0.0,-0.006369426751592357
2018Q1,Textiles,0.006369426751592357,0.0,-0.006369426751592357
2018Q2,Financial Services,0.21141649048625794,0.0,-0.21141649048625794
2018Q2,Fast Moving Consumer Goods,0.08879492600422834,0.10638297872340426,0.01758805271917592
2018Q2,Healthcare,0.08879492600422834,0.02127659574468085,-0.06751833025954748
2018Q2,Capital Goods,0.08456659619450317,0.0,-0.08456659619450317
