quarter,train_rows,test_rows,rank_ic,p_value,decile_spread
2017Q4,606,461,0.11720090605332564,0.011793534647396596,0.11382355997859128
2018Q1,1067,314,0.08445997474710767,0.13534948500121782,0.07026366622386941
2018Q2,1381,473,0.224452751119197,8.152906730686341e-07,0.1519212106714542
2018Q3,1854,487,0.16808296834889894,0.00019432714280752573,0.07119076412760338
2018Q4,2341,492,-0.10324393738366484,0.022000468206750886,-0.02676166249284879
2019Q1,2833,495,0.08309063601932871,0.06472229830588473,0.03367283963955066
2019Q2,3328,501,0.07136484004103348,0.11062147935787162,0.07171963029967945
2019Q3,3678,504,0.13796579317119445,0.0019060593529691067,0.055400428070930485
2019Q4,3727,507,0.29435297578722125,1.3622834990421961e-11,0.2559281153417141
2020Q1,3773,513,0.15413692558650194,0.0004590699440149999,-0.30829572056993393
2020Q2,3972,510,0.09011903386108865,0.04191919798082072,0.07895251903297387
2020Q3,4009,525,0.10827657223924214,0.013053137303829539,0.11007630945551086
2020Q4,4047,522,-0.07141519779038431,0.10314042930457783,0.011607516093992076
2021Q1,4077,526,0.11448189512904615,0.00858870965841823,0.2186748131138111
2021Q2,4108,527,-0.04672545490098638,0.28430891206731945,0.02608756582878835
2021Q3,4134,533,0.11742779870923342,0.006646371411565608,0.08797675709121758
2021Q4,4163,536,0.17405030696162,5.097533769212241e-05,0.07963016436187138
2022Q1,4192,389,0.06489291125900552,0.20156133902462384,0.08834095607526564
2022Q2,4068,544,-0.1187269531090003,0.005560912860037194,-0.07754848798547856
2022Q3,4102,550,0.13269267005841343,0.0018168779328829139,0.045043450794688286
2022Q4,4127,554,0.17069381994276464,5.385046082677141e-05,0.011314022952564288
2023Q1,4159,553,0.1310038350846583,0.002021720283768935,0.1505254198988942
2023Q2,4186,552,0.25580669700626163,1.0725325538142638e-09,0.1928958486332248
2023Q3,4211,555,0.11127732607844046,0.008696438470424145,0.12185678539668655
2023Q4,4233,548,0.4104035590480237,1.1177044456217312e-23,0.27743907247247923
2024Q1,4245,551,0.33512462681037275,6.290162492991967e-16,0.23426426551741308
2024Q2,4407,554,-0.006172313566896205,0.8847485712425841,0.058204507193825195
2024Q3,4417,566,0.03362418505333497,0.4246372169202345,0.10614951142434086
2024Q4,4433,560,-0.11357088377708359,0.0071391743873302355,-0.02342138674589556
2025Q1,4439,563,0.031977937582345295,0.4488894955660527,0.09561353460628016
2025Q2,4449,560,0.2311963765098233,3.129568071181373e-08,0.11418607322839251
2025Q3,4457,575,0.14694601660562853,0.00040749402344636003,0.08368245068818911
2025Q4,4477,576,0.19389474828705855,2.759883137541415e-06,0.17010855975323738
2026Q1,4505,423,0.16367881720164154,0.0007268868449051857,0.14838490733937254
2026Q2,4377,550,0.15824412311785105,0.00019437750093189636,0.050146323232025655
