quarter,train_rows,test_rows,rank_ic,p_value,decile_spread
2024Q1,997,551,0.2860033141324074,7.828988787127523e-12,0.12203812318632323
2024Q2,1548,554,-0.000416641891759563,0.9921932740693318,0.05527964837227166
2024Q3,2102,566,-0.06677094145654892,0.11256011174863438,-0.05941556496165677
2024Q4,2668,560,-0.09870710853283361,0.019474304294677794,-0.06879716598400362
2025Q1,3228,563,0.07564157575363906,0.07291288347343013,0.08936392093956128
2025Q2,3791,560,0.22249318550759725,1.0364543681625456e-07,0.11476216152153605
2025Q3,4351,575,0.17174793862905777,3.469855297823983e-05,0.0710687139038348
2025Q4,4926,576,0.17726016834608857,1.87791348508052e-05,0.1103843886823074
2026Q1,5502,423,0.14532349200593683,0.0027360199381618205,0.09373459131704032
2026Q2,5925,550,0.09941842632687892,0.019698362186565257,0.0747892654502635
